array_quest queens crazy_sets cell_block buggy array_quest
search search compatible_assignment search search buggy
search buggy compatible_assignment buggy search search
search compatible_assignment compatible_assignment search search search
aust_color aust_color aust_color rel_sem constrained_connected setselect
aust_color aust_color aust_color graph queens constrained_connected
carpet_cutting carpet_cutting carpet_cutting square_pack carpet_cutting crazy_sets
carpet_cutting carpet_cutting carpet_cutting carpet_cutting square_pack queens
carpet_cutting carpet_cutting carpet_cutting carpet_cutting setselect square_pack
cell_block cell_block cell_block queens square_pack carpet_cutting
cell_block cell_block cell_block crazy_sets mip square_pack
cluster cluster carpet_cutting constrained_connected carpet_cutting restart
langford langford langford langford buggy setselect
compatible_assignment compatible_assignment search compatible_assignment search search
compatible_assignment compatible_assignment search compatible_assignment search search
constrained_connected constrained_connected cluster crazy_sets setselect crazy_sets
buggy buggy flattening knapsack search flattening
crazy_sets crazy_sets setselect setselect setselect setselect
crazy_sets photo crazy_sets table_seating restart search
buggy buggy buggy jobshop jobshop rcpsp
buggy buggy compatible_assignment search search search
buggy buggy jobshop project_scheduling rcpsp jobshop
buggy rel_sem buggy mydiv flattening flattening
search restart search restart crazy_sets table_seating
doublechannel doublechannel rcpsp jobshop jobshop jobshop
buggy buggy flattening buggy flattening buggy
flattening flattening flattening flattening rel_sem submultisetsum
flattening flattening crazy_sets table_seating photo restart
flattening flattening flattening flattening flattening flattening
flattening flattening flattening crazy_sets submultisetsum buggy
flattening flattening flattening mip mip flattening
flattening flattening buggy flattening flattening mydiv
flattening flattening flattening flattening flattening flattening
flattening flattening carpet_cutting carpet_cutting rel_sem carpet_cutting
flattening flattening flattening flattening flattening buggy
flattening knapsack flattening mip knapsack knapsack
flattening flattening queens buggy carpet_cutting array_quest
flattening flattening flattening flattening rel_sem flattening
flattening flattening flattening flattening buggy rel_sem
flattening flattening flattening buggy flattening flattening
graph graph aust_color lots aust_color constrained_connected
langford langford langford langford buggy flattening
itemset_mining itemset_mining crazy_sets setselect buggy setselect
jobshop jobshop jobshop jobshop project_scheduling rcpsp
jobshop jobshop jobshop jobshop project_scheduling rcpsp
jobshop jobshop jobshop jobshop project_scheduling rcpsp
knapsack knapsack knapsack knapsack knapsack knapsack
knapsack knapsack mip knapsack flattening knapsack
knapsack knapsack knapsack knapsack knapsack flattening
knapsack knapsack knapsack knapsack knapsack knapsack
knapsack knapsack knapsack knapsack mip buggy
langford langford langford langford setselect crazy_sets
loan loan search rel_sem search flattening
lots lots aust_color graph aust_color restart
linetsp linetsp jobshop jobshop doublechannel search
mip mip mip mip production_planning knapsack
mip mip mip flattening flattening flattening
mip mip knapsack knapsack knapsack flattening
mip mip knapsack knapsack knapsack mip
mip mip knapsack knapsack knapsack flattening
missingsolution missingsolution buggy stableroommates_func stable_roommates restart
buggy buggy missingsolution stableroommates_func queens stable_roommates
myabs myabs mydiv rel_sem buggy flattening
mydiv mydiv rel_sem myabs flattening buggy
nurses nurses nurses jobshop search buggy
nurses nurses nurses compatible_assignment search langford
photo photo crazy_sets table_seating table_seating search
project_scheduling rcpsp project_scheduling project_scheduling jobshop jobshop
project_scheduling project_scheduling rcpsp project_scheduling jobshop jobshop
queens queens flattening flattening carpet_cutting crazy_sets
rcpsp rcpsp jobshop jobshop project_scheduling jobshop
rel_sem rel_sem buggy buggy flattening flattening
rel_sem rel_sem flattening flattening flattening flattening
restart lots restart setselect graph search
restart restart restart restart lots buggy
restart restart buggy submultisetsum crazy_sets setselect
setselect setselect setselect restart restart setselect
setselect setselect setselect setselect setselect crazy_sets
setselect setselect setselect setselect setselect constrained_connected
setselect setselect setselect setselect setselect crazy_sets
shipping shipping setselect doublechannel flattening production_planning
production_planning production_planning toomany mip mip toy_problem
square_pack square_pack carpet_cutting carpet_cutting carpet_cutting setselect
stable_roommates stableroommates_func stable_roommates restart restart crazy_sets
stableroommates_func stableroommates_func stable_roommates setselect restart restart
submultisetsum submultisetsum restart setselect crazy_sets buggy
table_example table_example toomany carpet_cutting aust_color rel_sem
table_seating table_seating crazy_sets photo table_seating restart
table_seating table_seating table_seating crazy_sets search restart
team_select team_select team_select toomany search table_seating
team_select team_select team_select crazy_sets setselect stableroommates_func
buggy buggy setselect setselect setselect crazy_sets
toomany toomany jobshop production_planning jobshop flattening
toy_problem toy_problem toomany production_planning mip buggy
buggy buggy jobshop rcpsp jobshop jobshop
total = 95 correct1 = 85 correct2 = 7 correct3 = 1 correct4 = 1 correct5 = 1 incorrect 0
