full : 

array_quest array_quest missingsolution table_seating buggy table_seating
search search search search buggy buggy
search search buggy search restart buggy
search search search buggy buggy setselect
aust_color aust_color aust_color graph restart toomany
aust_color aust_color aust_color setselect toomany setselect
carpet_cutting carpet_cutting carpet_cutting square_pack shipping knapsack
carpet_cutting carpet_cutting carpet_cutting square_pack flattening carpet_cutting
carpet_cutting carpet_cutting square_pack buggy carpet_cutting carpet_cutting
cell_block cell_block cell_block setselect buggy rel_sem
cell_block cell_block cell_block stableroommates_func stable_roommates carpet_cutting
cluster cluster constrained_connected linetsp flattening flattening
langford langford langford langford restart buggy
compatible_assignment compatible_assignment search buggy compatible_assignment project_scheduling
compatible_assignment compatible_assignment compatible_assignment buggy project_scheduling search
constrained_connected constrained_connected cluster restart search photo
buggy buggy toomany setselect production_planning buggy
crazy_sets crazy_sets setselect setselect setselect setselect
	crazy_sets restart restart search table_seating photo
buggy buggy buggy buggy project_scheduling project_scheduling
buggy buggy search compatible_assignment search nurses
buggy buggy buggy buggy project_scheduling project_scheduling
buggy buggy rel_sem buggy buggy setselect
search search table_seating photo restart restart
doublechannel doublechannel buggy rcpsp shipping project_scheduling
buggy buggy flattening restart missingsolution buggy
flattening flattening flattening setselect setselect rel_sem
flattening flattening restart restart table_seating photo
flattening flattening langford setselect restart buggy
flattening flattening carpet_cutting square_pack rel_sem flattening
flattening flattening flattening mip flattening flattening
flattening flattening langford restart rel_sem buggy
flattening flattening mip mip production_planning toy_problem
flattening flattening square_pack carpet_cutting setselect flattening
flattening flattening flattening flattening mip mip
	flattening knapsack flattening knapsack knapsack knapsack
flattening flattening queens table_seating table_seating buggy
flattening flattening myabs toomany flattening rel_sem
flattening flattening mip production_planning toomany rel_sem
	flattening doublechannel shipping toomany buggy carpet_cutting
graph graph restart buggy buggy setselect
langford langford langford langford buggy setselect
itemset_mining itemset_mining rel_sem knapsack setselect mip
jobshop jobshop jobshop project_scheduling project_scheduling buggy
jobshop jobshop jobshop jobshop project_scheduling buggy
jobshop jobshop jobshop project_scheduling jobshop project_scheduling
knapsack knapsack knapsack flattening knapsack knapsack
knapsack knapsack knapsack flattening mip knapsack
knapsack knapsack knapsack mip flattening knapsack
knapsack knapsack flattening mip knapsack knapsack
	knapsack flattening knapsack knapsack knapsack mip
langford langford langford langford restart setselect
loan loan mip flattening rel_sem mydiv
lots lots restart buggy buggy graph
linetsp linetsp project_scheduling buggy setselect cluster
mip mip production_planning rel_sem setselect toy_problem
mip mip production_planning toomany mip toy_problem
mip mip toomany setselect production_planning toy_problem
mip mip knapsack flattening knapsack knapsack
	mip knapsack flattening mip knapsack knapsack
	missingsolution buggy missingsolution restart table_seating table_seating
buggy buggy missingsolution table_seating table_seating restart
myabs myabs rel_sem buggy buggy rel_sem
mydiv mydiv flattening rel_sem buggy production_planning
nurses nurses nurses buggy buggy project_scheduling
nurses nurses nurses buggy buggy project_scheduling
photo photo restart search restart table_seating
project_scheduling project_scheduling jobshop jobshop project_scheduling buggy
project_scheduling project_scheduling jobshop project_scheduling buggy buggy
queens queens flattening table_seating table_seating buggy
rcpsp rcpsp project_scheduling buggy buggy project_scheduling
rel_sem rel_sem buggy buggy mip setselect
rel_sem rel_sem table_seating table_seating restart restart
restart restart crazy_sets restart search photo
restart restart restart crazy_sets table_seating photo
restart restart langford rel_sem buggy missingsolution
setselect setselect setselect setselect setselect buggy
setselect setselect setselect setselect setselect buggy
setselect setselect setselect setselect setselect buggy
setselect setselect setselect setselect setselect buggy
shipping shipping linetsp flattening cluster carpet_cutting
production_planning production_planning toomany mip buggy toy_problem
square_pack square_pack carpet_cutting carpet_cutting flattening knapsack
stable_roommates stable_roommates stableroommates_func restart restart search
stableroommates_func stableroommates_func stable_roommates photo restart compatible_assignment
submultisetsum submultisetsum rel_sem mip setselect setselect
table_example table_example loan rel_sem buggy missingsolution
table_seating table_seating table_seating restart restart photo
table_seating table_seating restart restart search table_seating
team_select team_select team_select table_seating restart rel_sem
team_select team_select team_select restart flattening rel_sem
buggy buggy setselect setselect setselect setselect
toomany toomany buggy production_planning jobshop toy_problem
toy_problem toy_problem buggy toomany mip rel_sem
buggy buggy buggy buggy project_scheduling project_scheduling

total = 95 correct1 = 89 correct2 = 3 correct3 = 1 correct4 = 0 correct5 = 0 incorrect 2
