all_interval all_interval queens stableroommates restart QuasiGroupExistence
assign compatible_assignment assign teamselect bus_scheduling_csplib vessel-loading
aust_color aust_color magic_hexagon nonogram_create_automaton2 all_interval golomb
bibd bibd opd vessel-loading nonogram_create_automaton2 sb
bus_scheduling_csplib car RosteringProblem setselect bus_scheduling_csplib compatible_assignment
car car RosteringProblem all_interval project_scheduling vessel-loading
carpet_cutting carpet_cutting square_pack opd RosteringProblem stableroommates
cell_block cell_block warehouses stoch_fjsp assign RosteringProblem
clique table_seating sonet_problem crazy_sets clique teamselect
cluster cluster cell_block RosteringProblem setselect teamselect
compatible_assignment compatible_assignment rcpsp jobshop doublechannel project_scheduling
constrained_connected constrained_connected cluster graph bus_scheduling_csplib TTPPV
crazy_sets steiner all_interval itemset_mining setselect stableroommates
crossfigure crossfigure magic_hexagon all_interval fractions partition
curriculum curriculum warehouses stoch_fjsp bus_scheduling_csplib vessel-loading
diamond_free_degree_sequence diamond_free_degree_sequence all_interval magic_hexagon K4xP2Graceful missing_solution
doublechannel doublechannel compatible_assignment all_interval RosteringProblem nurses
fractions fractions restart magic_hexagon all_interval steiner
golfers photo table_seating golfers rehearsal stableroommates
golomb K4xP2Graceful opd golomb rehearsal missing_solution
graph graph K4xP2Graceful aust_color langford sonet_problem
itemset_mining itemset_mining vessel-loading setselect water_buckets1 knapsack
jobshop compatible_assignment nurses project_scheduling doublechannel sonet_problem
K4xP2Graceful K4xP2Graceful all_interval vessel-loading setselect compatible_assignment
killer_sudoku killer_sudoku restart submultisetsum partition vessel-loading
knapsack knapsack maximum_density_still_life vessel-loading setselect simple-prod-planning
langford langford partition compatible_assignment all_interval template_design
loan loan sonet_problem vessel-loading template_design rcpsp
ltsp ltsp steiner RosteringProblem shipping car
magic_hexagon magic_hexagon magic_sequence vessel-loading QuasigroupCompletion setselect
magic_sequence partition all_interval water_buckets1 langford traffic_lights_table
maximum_density_still_life maximum_density_still_life vessel-loading all_interval golomb RosteringProblem
mip mip cell_block RosteringProblem curriculum water_buckets1
missing_solution table_seating golfers photo bus_scheduling_csplib rehearsal
nonogram_create_automaton2 nonogram_create_automaton2 compatible_assignment knapsack golomb QuasigroupCompletion
nurses nurses RosteringProblem vessel-loading compatible_assignment curriculum
opd opd nonogram_create_automaton2 template_design vessel-loading bibd
partition partition square_pack clique cell_block langford
photo golfers table_seating photo compatible_assignment setselect
project_scheduling project_scheduling rcpsp compatible_assignment stoch_fjsp simple-prod-planning
QuasigroupCompletion QuasigroupCompletion magic_hexagon setselect golfers partition
QuasiGroupExistence QuasiGroupExistence traffic_lights_table partition water_buckets1 magic_sequence
queens queens all_interval magic_hexagon steiner vessel-loading
rcpsp rcpsp project_scheduling compatible_assignment constrained_connected RosteringProblem
rehearsal rehearsal rcpsp doublechannel jobshop project_scheduling
restart golfers photo table_seating missing_solution stableroommates
RosteringProblem RosteringProblem nurses vessel-loading curriculum stableroommates
sb sb magic_hexagon partition QuasigroupCompletion vessel-loading
schur schur langford vessel-loading partition setselect
setselect setselect vessel-loading teamselect assign bus_scheduling_csplib
shipping shipping warehouses water_buckets1 cell_block jobshop
simple-prod-planning simple-prod-planning toomany assign water_buckets1 project_scheduling
sonet_problem sonet_problem constrained_connected doublechannel bus_scheduling_csplib steiner
square_pack square_pack vessel-loading knapsack sb partition
stableroommates stableroommates teamselect vessel-loading assign golfers
steiner steiner diamond_free_degree_sequence crazy_sets queens constrained_connected
stoch_fjsp stoch_fjsp assign water_buckets1 compatible_assignment stableroommates
submultisetsum submultisetsum bus_scheduling_csplib setselect langford knapsack
table_seating table_seating golfers photo TTPPV submultisetsum
teamselect teamselect TTPPV steiner simple-prod-planning RosteringProblem
template_design template_design simple-prod-planning RosteringProblem car steiner
toomany simple-prod-planning toomany doublechannel compatible_assignment rcpsp
traffic_lights_table traffic_lights_table ltsp vessel-loading compatible_assignment doublechannel
TTPPV TTPPV ltsp doublechannel cluster stableroommates
vessel-loading vessel-loading shipping teamselect compatible_assignment assign
warehouses warehouses shipping sonet_problem cell_block compatible_assignment
water_buckets1 water_buckets1 vessel-loading simple-prod-planning compatible_assignment knapsack
