all_interval all_interval QuasigroupCompletion curriculum rehearsal crazy_sets
assign compatible_assignment assign restart jobshop cell_block
aust_color aust_color graph K4xP2Graceful restart traffic_lights_table
bibd bibd opd partition cell_block restart
bus_scheduling_csplib restart jobshop bus_scheduling_csplib assign opd
car car restart graph bus_scheduling_csplib project_scheduling
carpet_cutting carpet_cutting square_pack RosteringProblem bus_scheduling_csplib template_design
cell_block cell_block warehouses restart assign knapsack
clique clique partition RosteringProblem constrained_connected schur
cluster cluster RosteringProblem constrained_connected cell_block partition
compatible_assignment compatible_assignment jobshop rcpsp restart bus_scheduling_csplib
constrained_connected constrained_connected steiner cluster diamond_free_degree_sequence K4xP2Graceful
crazy_sets steiner restart diamond_free_degree_sequence cell_block table_seating
crossfigure crossfigure queens steiner partition QuasiGroupExistence
curriculum curriculum loan restart missing_solution RosteringProblem
diamond_free_degree_sequence diamond_free_degree_sequence restart partition K4xP2Graceful langford
doublechannel restart simple-prod-planning nurses doublechannel rcpsp
fractions fractions restart steiner partition langford
golfers golfers table_seating photo K4xP2Graceful steiner
golomb golomb opd magic_hexagon fractions cluster
graph graph K4xP2Graceful schur clique partition
itemset_mining itemset_mining restart partition opd cell_block
jobshop compatible_assignment jobshop toomany curriculum simple-prod-planning
K4xP2Graceful K4xP2Graceful graph partition restart cell_block
killer_sudoku killer_sudoku steiner restart langford magic_hexagon
knapsack knapsack simple-prod-planning square_pack assign constrained_connected
langford langford schur partition restart cell_block
loan loan sonet_problem restart ltsp curriculum
ltsp ltsp restart missing_solution doublechannel RosteringProblem
magic_hexagon magic_hexagon magic_sequence restart langford partition
magic_sequence partition traffic_lights_table QuasiGroupExistence QuasiGroupExistence crossfigure
maximum_density_still_life maximum_density_still_life partition graph restart opd
mip mip RosteringProblem curriculum compatible_assignment template_design
missing_solution table_seating golfers photo schur langford
nonogram_create_automaton2 nonogram_create_automaton2 opd partition restart cell_block
nurses RosteringProblem nurses restart compatible_assignment assign
opd opd template_design restart partition cell_block
partition partition bus_scheduling_csplib cell_block steiner missing_solution
photo photo golfers graph partition restart
project_scheduling rcpsp project_scheduling stoch_fjsp compatible_assignment doublechannel
QuasigroupCompletion QuasigroupCompletion restart partition steiner square_pack
QuasiGroupExistence QuasiGroupExistence QuasiGroupExistence traffic_lights_table partition magic_sequence
queens queens cell_block restart steiner clique
rcpsp rcpsp project_scheduling restart constrained_connected jobshop
rehearsal rehearsal rcpsp bus_scheduling_csplib project_scheduling RosteringProblem
restart golfers photo table_seating clique restart
RosteringProblem RosteringProblem nurses restart langford curriculum
sb sb restart QuasigroupCompletion partition queens
schur schur restart graph opd cell_block
setselect assign jobshop restart partition knapsack
shipping shipping warehouses template_design restart simple-prod-planning
simple-prod-planning mip simple-prod-planning itemset_mining toomany project_scheduling
sonet_problem sonet_problem simple-prod-planning bibd K4xP2Graceful steiner
square_pack square_pack restart partition knapsack opd
stableroommates stableroommates partition compatible_assignment cell_block assign
steiner steiner toomany restart magic_hexagon bibd
stoch_fjsp stoch_fjsp assign jobshop compatible_assignment carpet_cutting
submultisetsum submultisetsum compatible_assignment ltsp crazy_sets setselect
table_seating table_seating photo golfers K4xP2Graceful TTPPV
teamselect teamselect TTPPV constrained_connected RosteringProblem setselect
template_design template_design restart steiner simple-prod-planning bibd
toomany simple-prod-planning toomany jobshop template_design rcpsp
traffic_lights_table traffic_lights_table restart graph partition opd
TTPPV TTPPV ltsp bus_scheduling_csplib submultisetsum photo
vessel-loading vessel-loading graph jobshop restart opd
warehouses warehouses shipping simple-prod-planning restart jobshop
water_buckets1 water_buckets1 jobshop partition assign knapsack
