all_interval all_interval langford restart queens fractions
assign project_scheduling shipping knapsack jobshop compatible_assignment
aust_color graph K4xP2Graceful steiner aust_color cluster
bibd bibd opd curriculum steiner cell_block
bus_scheduling_csplib curriculum project_scheduling bus_scheduling_csplib jobshop shipping
car project_scheduling car jobshop bus_scheduling_csplib shipping
carpet_cutting square_pack carpet_cutting jobshop knapsack vessel-loading
cell_block schur knapsack partition cell_block bus_scheduling_csplib
clique K4xP2Graceful graph steiner golfers constrained_connected
cluster golfers bus_scheduling_csplib cluster shipping TTPPV
compatible_assignment project_scheduling compatible_assignment stoch_fjsp shipping bus_scheduling_csplib
constrained_connected constrained_connected cluster opd partition golomb
crazy_sets setselect constrained_connected diamond_free_degree_sequence crazy_sets submultisetsum
crossfigure crossfigure graph queens submultisetsum schur
curriculum curriculum bibd bus_scheduling_csplib vessel-loading stoch_fjsp
diamond_free_degree_sequence diamond_free_degree_sequence graph partition cluster constrained_connected
doublechannel project_scheduling doublechannel bus_scheduling_csplib nurses vessel-loading
fractions fractions graph steiner opd photo
golfers golfers constrained_connected teamselect cluster TTPPV
golomb cluster steiner constrained_connected QuasigroupCompletion golomb
graph graph schur golfers steiner K4xP2Graceful
itemset_mining bibd cluster shipping constrained_connected square_pack
jobshop carpet_cutting shipping RosteringProblem stoch_fjsp jobshop
K4xP2Graceful K4xP2Graceful graph bibd vessel-loading compatible_assignment
killer_sudoku killer_sudoku sb QuasigroupCompletion schur langford
knapsack simple-prod-planning square_pack knapsack photo schur
langford langford cluster constrained_connected graph crazy_sets
loan cluster simple-prod-planning RosteringProblem loan curriculum
ltsp ltsp constrained_connected cluster bus_scheduling_csplib rcpsp
magic_hexagon magic_hexagon magic_sequence QuasigroupCompletion steiner crazy_sets
magic_sequence QuasiGroupExistence magic_sequence K4xP2Graceful magic_hexagon queens
maximum_density_still_life bibd maximum_density_still_life QuasigroupCompletion shipping opd
mip RosteringProblem rcpsp knapsack shipping opd
missing_solution golfers constrained_connected RosteringProblem photo table_seating
nonogram_create_automaton2 nonogram_create_automaton2 constrained_connected QuasigroupCompletion langford partition
nurses RosteringProblem project_scheduling nurses curriculum jobshop
opd opd bibd jobshop cluster constrained_connected
partition partition bus_scheduling_csplib cell_block golfers steiner
photo golfers cluster table_seating photo constrained_connected
project_scheduling rcpsp stoch_fjsp simple-prod-planning project_scheduling bus_scheduling_csplib
QuasigroupCompletion QuasigroupCompletion steiner square_pack bibd golfers
QuasiGroupExistence QuasiGroupExistence partition queens magic_hexagon fractions
queens schur constrained_connected steiner queens golfers
rcpsp rcpsp curriculum project_scheduling stoch_fjsp simple-prod-planning
rehearsal rehearsal bus_scheduling_csplib curriculum RosteringProblem ltsp
restart golfers table_seating photo RosteringProblem cluster
RosteringProblem nurses project_scheduling RosteringProblem curriculum assign
sb sb QuasigroupCompletion queens square_pack shipping
schur schur knapsack carpet_cutting graph square_pack
setselect setselect submultisetsum knapsack steiner constrained_connected
shipping shipping simple-prod-planning bus_scheduling_csplib vessel-loading warehouses
simple-prod-planning simple-prod-planning toomany template_design rcpsp RosteringProblem
sonet_problem sonet_problem setselect bibd constrained_connected cluster
square_pack knapsack cluster shipping bus_scheduling_csplib schur
stableroommates stableroommates compatible_assignment curriculum golfers photo
steiner steiner schur partition constrained_connected cluster
stoch_fjsp stoch_fjsp rcpsp RosteringProblem curriculum project_scheduling
submultisetsum submultisetsum toomany assign knapsack partition
table_seating golfers TTPPV table_seating cluster photo
teamselect teamselect TTPPV constrained_connected cluster steiner
template_design template_design curriculum knapsack simple-prod-planning toomany
toomany simple-prod-planning template_design stoch_fjsp shipping bus_scheduling_csplib
traffic_lights_table traffic_lights_table bus_scheduling_csplib steiner graph aust_color
TTPPV TTPPV cluster bus_scheduling_csplib constrained_connected rehearsal
vessel-loading vessel-loading curriculum sb shipping doublechannel
warehouses warehouses bus_scheduling_csplib cluster carpet_cutting ltsp
water_buckets1 water_buckets1 shipping knapsack jobshop simple-prod-planning
